INSTANCE,VCPU,RAM,HOURLY ON DEMAND
g5g.metal,64,128.0,2.7440 
g5g.16xlarge,64,128.0,2.7440 
i4i.8xlarge,32,256.0,2.7460 
m5a.16xlarge,64,256.0,2.7520 
c5ad.16xlarge,64,128.0,2.7520 
d2.4xlarge,16,122.0,2.7600 
r6gd.12xlarge,48,384.0,2.7648 
m6a.16xlarge,64,256.0,2.7648 
c6gn.16xlarge,64,128.0,2.7648 
m7a.12xlarge,48,192.0,2.7821 
r6in.8xlarge,32,256.0,2.7893 
m6id.12xlarge,48,192.0,2.8476 
c7i.16xlarge,64,128.0,2.8560 
m5n.12xlarge,48,192.0,2.8560 
m6gd.16xlarge,64,256.0,2.8928 
m6gd.metal,64,256.0,2.8928 
c7gd.metal,64,128.0,2.9030 
c7gd.16xlarge,64,128.0,2.9030 
im4gn.8xlarge,32,128.0,2.9103 
r7iz.8xlarge,32,256.0,2.9760 
c7gn.12xlarge,48,96.0,2.9952 
r5.12xlarge,48,384.0,3.0240 
r6i.12xlarge,48,384.0,3.0240 
c5.18xlarge,72,144.0,3.0600 
p3.2xlarge,8,61.0,3.0600 
m6i.16xlarge,64,256.0,3.0720 
m5.16xlarge,64,256.0,3.0720 
r6idn.8xlarge,32,256.0,3.1262 
r5ad.12xlarge,48,384.0,3.1440 
d3en.6xlarge,24,96.0,3.1540 
r7i.12xlarge,48,384.0,3.1752 
m4.16xlarge,64,256.0,3.2000 
c6id.16xlarge,64,128.0,3.2256 
m7i.16xlarge,64,256.0,3.2256 
r6g.metal,64,512.0,3.2256 
r6g.16xlarge,64,512.0,3.2256 
m5dn.12xlarge,48,192.0,3.2640 
r7gd.12xlarge,48,384.0,3.2659 
c7a.16xlarge,64,128.0,3.2845 
m5ad.16xlarge,64,256.0,3.2960 
f1.4xlarge,16,244.0,3.3000 
x2iedn.4xlarge,16,512.0,3.3345 
x1e.4xlarge,16,488.0,3.3360 
x2iezn.4xlarge,16,512.0,3.3360 
m6in.12xlarge,48,192.0,3.3415 
i2.4xlarge,16,122.0,3.4100 
m7gd.metal,64,256.0,3.4171 
m7gd.16xlarge,64,256.0,3.4171 
r7g.metal,64,512.0,3.4272 
r7g.16xlarge,64,512.0,3.4272 
c5d.18xlarge,72,144.0,3.4560 
r5d.12xlarge,48,384.0,3.4560 
g4ad.16xlarge,64,256.0,3.4680 
cr1.8xlarge,32,244.0,3.5000 
r5n.12xlarge,48,384.0,3.5760 
r5b.12xlarge,48,384.0,3.5760 
m5d.16xlarge,64,256.0,3.6160 
r5a.16xlarge,64,512.0,3.6160 
r6a.16xlarge,64,512.0,3.6288 
r6id.12xlarge,48,384.0,3.6288 
c6in.16xlarge,64,128.0,3.6288 
r7a.12xlarge,48,384.0,3.6516 
c6a.24xlarge,96,192.0,3.6720 
r6gd.16xlarge,64,512.0,3.6864 
r6gd.metal,64,512.0,3.6864 
c5a.24xlarge,96,192.0,3.6960 
m7a.16xlarge,64,256.0,3.7094 
h1.16xlarge,64,256.0,3.7440 
m6id.16xlarge,64,256.0,3.7968 
m5n.16xlarge,64,256.0,3.8080 
m6idn.12xlarge,48,192.0,3.8189 
c5n.18xlarge,72,192.0,3.8880 
c5n.metal,72,192.0,3.8880 
g4dn.12xlarge,48,192.0,3.9120 
m5zn.metal,48,192.0,3.9641 
m5zn.12xlarge,48,192.0,3.9641 
c7gn.metal,64,128.0,3.9936 
c7gn.16xlarge,64,128.0,3.9936 
d3.8xlarge,32,256.0,3.9955 
x2gd.12xlarge,48,768.0,4.0080 
r5dn.12xlarge,48,384.0,4.0080 
r6i.16xlarge,64,512.0,4.0320 
r5.16xlarge,64,512.0,4.0320 
c5.metal,96,192.0,4.0800 
c5.24xlarge,96,192.0,4.0800 
c6i.24xlarge,96,192.0,4.0800 
g5.16xlarge,64,256.0,4.0960 
i4i.12xlarge,48,384.0,4.1180 
c5ad.24xlarge,96,192.0,4.1280 
m5a.24xlarge,96,384.0,4.1280 
m6a.24xlarge,96,384.0,4.1472 
r6in.12xlarge,48,384.0,4.1839 
r5ad.16xlarge,64,512.0,4.1920 
d3en.8xlarge,32,128.0,4.2058 
r7i.16xlarge,64,512.0,4.2336 
r4.16xlarge,64,488.0,4.2560 
c7i.metal-24xl,96,192.0,4.2840 
c7i.24xlarge,96,192.0,4.2840 
m5dn.16xlarge,64,256.0,4.3520 
g4dn.16xlarge,64,256.0,4.3520 
r7gd.metal,64,512.0,4.3546 
r7gd.16xlarge,64,512.0,4.3546 
m6in.16xlarge,64,256.0,4.4554 
r7iz.12xlarge,48,384.0,4.4640 
z1d.metal,48,384.0,4.4640 
z1d.12xlarge,48,384.0,4.4640 
g3.16xlarge,64,488.0,4.5600 
m5.24xlarge,96,384.0,4.6080 
m6i.24xlarge,96,384.0,4.6080 
c5d.24xlarge,96,192.0,4.6080 
m5.metal,96,384.0,4.6080 
c5d.metal,96,192.0,4.6080 
r5d.16xlarge,64,512.0,4.6080 
is4gen.8xlarge,32,192.0,4.6104 
r6idn.12xlarge,48,384.0,4.6894 
inf1.24xlarge,96,192.0,4.7210 
r5b.16xlarge,64,512.0,4.7680 
r5n.16xlarge,64,512.0,4.7680 
m7i.metal-24xl,96,384.0,4.8384 
c6id.24xlarge,96,192.0,4.8384 
m7i.24xlarge,96,384.0,4.8384 
r6id.16xlarge,64,512.0,4.8384 
r7a.16xlarge,64,512.0,4.8688 
c6a.32xlarge,128,256.0,4.8960 
c7a.24xlarge,96,192.0,4.9267 
i4g.16xlarge,64,512.0,4.9421 
m5ad.24xlarge,96,384.0,4.9440 
i3.16xlarge,64,488.0,4.9920 
i3.metal,72,512.0,4.9920 
x2iezn.6xlarge,24,768.0,5.0040 
m6idn.16xlarge,64,256.0,5.0918 
vt1.24xlarge,96,192.0,5.2000 
r5dn.16xlarge,64,512.0,5.3440 
x2gd.metal,64,1024.0,5.3440 
x2gd.16xlarge,64,1024.0,5.3440 
m5d.24xlarge,96,384.0,5.4240 
i3en.12xlarge,48,384.0,5.4240 
r5a.24xlarge,96,768.0,5.4240 
m5d.metal,96,384.0,5.4240 
c6i.32xlarge,128,256.0,5.4400 
c6i.metal,128,256.0,5.4400 
c6in.24xlarge,96,192.0,5.4432 
r6a.24xlarge,96,768.0,5.4432 
i4i.16xlarge,64,512.0,5.4910 
d2.8xlarge,36,244.0,5.5200 
m6a.32xlarge,128,512.0,5.5296 
m7a.24xlarge,96,384.0,5.5642 
r6in.16xlarge,64,512.0,5.5786 
g5.12xlarge,48,192.0,5.6720 
m6id.24xlarge,96,384.0,5.6952 
m5n.metal,96,384.0,5.7120 
m5n.24xlarge,96,384.0,5.7120 
im4gn.16xlarge,64,256.0,5.8207 
r7iz.16xlarge,64,512.0,5.9520 
r7iz.metal-16xl,64,512.0,5.9520 
